alpha distance scale_parameter trial time pos_1 pos_2
0.5 10 0.005 1 1 -9.98617 -9.98617
0.5 10 0.005 4 315 -56.9665 -56.9665
0.5 10 0.005 7 20 19.5552 19.5552
0.5 10 0.005 8 57 50.705 50.705
0.5 10 0.005 15 27 -6.01591 -6.01591
0.5 10 0.005 16 28 -2.63938 -2.63938
0.5 10 0.005 20 116 -2.11542 -2.11542
0.5 10 0.005 25 75 5.71416 5.71416
0.5 10 0.005 41 26 -27.3092 -27.3092
0.5 10 0.005 44 106 -5.78859 -5.78859
0.5 10 0.005 49 107 15.8058 15.8058
1.5 10 0.005 3 150962 -12.7952 -12.7952
1.5 10 0.005 4 38257 -7.59139 -7.59139
1.5 10 0.005 5 353345 -2.54568 -2.54568
1.5 10 0.005 6 151798 13.2767 13.2767
1.5 10 0.005 7 141428 -16.3115 -16.3115
1.5 10 0.005 9 253391 -4.71464 -4.71464
1.5 10 0.005 11 81674 2.92308 2.92308
1.5 10 0.005 12 665616 27.4296 27.4296
1.5 10 0.005 14 45809 2.46181 2.46181
1.5 10 0.005 15 145595 -1.27149 -1.27149
1.5 10 0.005 17 975322 -21.1725 -21.1725
1.5 10 0.005 18 63640 -16.0159 -16.0159
1.5 10 0.005 20 63049 -8.24755 -8.24755
1.5 10 0.005 21 585331 -20.5225 -20.5225
1.5 10 0.005 25 325729 -36.1674 -36.1674
1.5 10 0.005 26 509356 -25.2976 -25.2976
1.5 10 0.005 27 208290 -1.91096 -1.91096
1.5 10 0.005 28 603734 -5.45603 -5.45603
1.5 10 0.005 29 339840 3.21176 3.21176
1.5 10 0.005 30 272324 5.98436 5.98436
1.5 10 0.005 31 22006 -7.24117 -7.24117
1.5 10 0.005 33 124568 -4.79832 -4.79832
1.5 10 0.005 34 370697 -31.7083 -31.7083
1.5 10 0.005 35 975458 13.5908 13.5908
1.5 10 0.005 36 609937 -27.399 -27.399
1.5 10 0.005 38 60669 -2.46819 -2.46819
1.5 10 0.005 39 114374 -10.9449 -10.9449
1.5 10 0.005 40 17455 -6.7114 -6.7114
1.5 10 0.005 41 893344 13.7763 13.7763
1.5 10 0.005 42 79648 4.69766 4.69766
1.5 10 0.005 44 581217 -16.4538 -16.4538
1.5 10 0.005 45 579143 -19.4048 -19.4048
1.5 10 0.005 46 116818 -9.28669 -9.28669
1.5 10 0.005 47 993157 -6.95735 -6.95735
1.5 10 0.005 48 303601 25.7133 25.7133
0.5 10 0.01 1 72 -22.1723 -22.1723
0.5 10 0.01 4 1 5.03689 5.03689
0.5 10 0.01 8 40 0.678504 0.678504
0.5 10 0.01 13 8 2.96066 2.96066
0.5 10 0.01 16 13 10.9404 10.9404
0.5 10 0.01 20 88 1.14072 1.14072
0.5 10 0.01 25 62 12.9801 12.9801
0.5 10 0.01 37 15 -10.0733 -10.0733
0.5 10 0.01 39 228 -168.698 -168.698
0.5 10 0.01 41 53 -56.1396 -56.1396
0.5 10 0.01 43 13 5.93865 5.93865
1.5 10 0.01 0 25418 -7.94297 -7.94297
1.5 10 0.01 3 80255 -19.0725 -19.0725
1.5 10 0.01 4 30118 -6.35406 -6.35406
1.5 10 0.01 5 128475 2.58037 2.58037
1.5 10 0.01 6 267162 24.0163 24.0163
1.5 10 0.01 9 233131 -17.1726 -17.1726
1.5 10 0.01 12 653171 64.7718 64.7718
1.5 10 0.01 13 459967 -19.9297 -19.9297
1.5 10 0.01 14 2345 9.27613 9.27613
1.5 10 0.01 15 159275 11.4179 11.4179
1.5 10 0.01 16 420290 -45.1398 -45.1398
1.5 10 0.01 17 38693 -12.6469 -12.6469
1.5 10 0.01 18 14076 -13.1506 -13.1506
1.5 10 0.01 20 77276 -10.371 -10.371
1.5 10 0.01 21 511098 -25.5202 -25.5202
1.5 10 0.01 22 34844 -8.09049 -8.09049
1.5 10 0.01 23 114233 -9.04168 -9.04168
1.5 10 0.01 25 533827 -65.6266 -65.6266
