alpha coal mu x0 cdf cdfLow cdfHigh
1.25 0.01 1 0 0 0 0
1.25 0.01 1.64872 0 0.00059104 0.000567159 0.000613925
1.25 0.01 2.71828 0 0.000928999 0.000899119 0.000958869
1.25 0.01 4.48169 0 0.00139063 0.00135268 0.00142829
1.25 0.01 7.38906 0 0.00182891 0.00178437 0.00187342
1.25 0.01 12.1825 0 0.00230476 0.00225275 0.00235567
1.25 0.01 20.0855 0 0.0027972 0.00274154 0.00285477
1.25 0.01 33.1155 0 0.00336193 0.00329681 0.00342537
1.25 0.01 54.5982 0 0.00398257 0.00391151 0.0040553
1.25 0.01 90.0171 0 0.00466743 0.00458839 0.00474654
1.25 0.01 148.413 0 0.00539223 0.00530446 0.00547754
1.25 0.01 244.692 0 0.00621181 0.00611618 0.00630999
1.25 0.01 403.429 0 0.00712388 0.00702023 0.00723275
1.25 0.01 665.142 0 0.00815202 0.00803268 0.00826787
1.25 0.01 1096.63 0 0.00931471 0.00918838 0.00944115
1.25 0.01 1808.04 0 0.0105346 0.0103913 0.0106717
1.25 0.01 2980.96 0 0.0119372 0.0117849 0.0120934
1.25 0.01 4914.77 0 0.0134546 0.0132837 0.0136218
1.25 0.01 8103.08 0 0.0150372 0.0148525 0.0152164
1.25 0.01 13359.7 0 0.0168558 0.0166515 0.0170558
1.25 0.01 22026.5 0 0.0189066 0.0186825 0.0191291
1.25 0.01 36315.5 0 0.0211369 0.0208943 0.0213807
1.25 0.01 59874.1 0 0.0235959 0.0233325 0.0238648
1.25 0.01 98715.8 0 0.026203 0.0259133 0.0264986
1.25 0.01 162755 0 0.029229 0.0289098 0.029542
1.25 0.01 268337 0 0.0325569 0.0322065 0.0329011
1.25 0.01 442413 0 0.035954 0.0355864 0.036329
1.25 0.01 729416 0 0.0398638 0.0394559 0.0402743
1.25 0.01 1.2026e+06 0 0.0440124 0.0435749 0.0444667
1.25 0.1 1 0 0 0 0
1.25 0.1 1.64872 0 0.00565266 0.00543378 0.00588105
