c alpha coal mu x0 hom homLow homHigh
10 1.25 1 0.001 0 0.00231396 0.00230197 0.00232576
10 1.25 1 0.01 0 0.00216538 0.00215429 0.00217703
10 1.25 1 0.1 0 0.00158179 0.00157323 0.00159042
10 1.25 1 0.001 15 0.000780641 0.000773836 0.000787133
10 1.25 1 0.01 15 0.000662585 0.000656649 0.00066838
10 1.25 1 0.1 15 0.000354167 0.00035047 0.000357987
10 1.25 1 0.001 19 0.000666389 0.000659805 0.000672848
10 1.25 1 0.01 19 0.000554092 0.000548587 0.000559476
10 1.25 1 0.1 19 0.000273984 0.000271097 0.000277534
10 1.25 1 0.001 22 0.00060356 0.000597474 0.000610377
10 1.25 1 0.01 22 0.000490992 0.000485739 0.000496157
10 1.25 1 0.1 22 0.000227463 0.00022451 0.000230335
10 1.25 1 0.001 26 0.000537323 0.000531546 0.000543429
10 1.25 1 0.01 26 0.000429931 0.000425213 0.000434511
10 1.25 1 0.1 26 0.000184142 0.000181642 0.000186868
10 1.25 1 0.001 32 0.000442922 0.000438282 0.000448611
10 1.25 1 0.01 32 0.000341663 0.000337399 0.000345633
10 1.25 1 0.1 32 0.000130722 0.000128611 0.000132821
10 1.25 1 0.001 38 0.000393869 0.000389212 0.000398926
10 1.25 1 0.01 38 0.000295538 0.000291877 0.000299407
10 1.25 1 0.1 38 0.000102 0.000100113 0.000103889
10 1.25 1 0.001 46 0.000322484 0.00031806 0.000326988
10 1.25 1 0.01 46 0.000230205 0.000227025 0.000233674
10 1.25 1 0.1 46 6.91095e-05 6.76985e-05 7.05449e-05
10 1.25 1 0.001 55 0.00027977 0.000275529 0.0002838
10 1.25 1 0.01 55 0.000191491 0.000188401 0.000194315
10 1.25 1 0.1 55 4.97138e-05 4.85861e-05 5.08593e-05
10 1.25 1 0.001 66 0.000247996 0.000244526 0.000251579
10 1.25 1 0.01 66 0.000160362 0.000157429 0.000163169
10 1.25 1 0.1 66 3.55905e-05 3.46221e-05 3.65108e-05
10 1.25 1 0.001 80 0.000201384 0.000198147 0.000204573
10 1.25 1 0.01 80 0.000123491 0.000121198 0.000125924
10 1.25 1 0.1 80 2.2634e-05 2.18669e-05 2.32726e-05
10 1.25 1 0.001 95 0.000176608 0.000173708 0.000179836
10 1.25 1 0.01 95 0.000102055 9.99068e-05 0.000104251
10 1.25 1 0.1 95 1.58751e-05 1.53381e-05 1.64431e-05
10 1.25 1 0.001 115 0.000150775 0.000147836 0.000153642
10 1.25 1 0.01 115 7.89077e-05 7.73047e-05 8.08831e-05
10 1.25 1 0.1 115 9.8544e-06 9.39629e-06 1.02643e-05
10 1.25 1 0.001 137 0.000124008 0.000121387 0.000126428
10 1.25 1 0.01 137 5.94151e-05 5.7988e-05 6.10273e-05
10 1.25 1 0.1 137 5.62828e-06 5.29369e-06 5.946e-06
10 1.25 1 0.001 165 0.000110115 0.000107583 0.000112628
10 1.25 1 0.01 165 4.95054e-05 4.80215e-05 5.07879e-05
10 1.25 1 0.1 165 3.98638e-06 3.71987e-06 4.25558e-06
10 1.25 1 0.001 198 8.89969e-05 8.67075e-05 9.14401e-05
10 1.25 1 0.01 198 3.4406e-05 3.33708e-05 3.54775e-05
10 1.25 1 0.1 198 1.85548e-06 1.65036e-06 2.03681e-06
10 1.25 1 0.001 237 7.35603e-05 7.17581e-05 7.55917e-05
10 1.25 1 0.01 237 2.60134e-05 2.50979e-05 2.68858e-05
10 1.25 1 0.1 237 1.3975e-06 1.23365e-06 1.5408e-06
