c alpha coal mu x0 hom homLow homHigh
10 2 1 1 0 3.69252e-05 3.67452e-05 3.71052e-05
10 2 1 1 15 2.81284e-05 2.79689e-05 2.82818e-05
10 2 1 1 19 2.37057e-05 2.35641e-05 2.38387e-05
10 2 1 1 22 2.04522e-05 2.03232e-05 2.05737e-05
10 2 1 1 26 1.62934e-05 1.61737e-05 1.64006e-05
10 2 1 1 32 1.08706e-05 1.07902e-05 1.09585e-05
10 2 1 1 38 6.65521e-06 6.57864e-06 6.72444e-06
10 2 1 1 46 3.15269e-06 3.10436e-06 3.19984e-06
10 2 1 1 55 1.21584e-06 1.18868e-06 1.24366e-06
10 2 1 1 66 3.17628e-07 3.06143e-07 3.28495e-07
10 2 1 1 80 6.85269e-08 6.5249e-08 7.17879e-08
10 2 1 1 95 1.42142e-08 1.28932e-08 1.54867e-08
10 2 1 1 115 1.83961e-09 1.55885e-09 2.13702e-09
10 2 1 1 137 1.09065e-10 8.60085e-11 1.35412e-10
10 2 1 1 165 7.06582e-12 4.12611e-12 1.01871e-11
10 2 1 1 198 2.52165e-12 3.52467e-13 4.62386e-12
10 2 1 1 237 8.20659e-16 9.62718e-17 1.53202e-15
