c alpha coal T x0 cdf cdfLow cdfHigh
1 0.75 0.001 1 0 0 0 0
1 0.75 0.001 1.64872 0 0.000315952 0.000314513 0.000317401
1 0.75 0.001 2.71828 0 0.000459259 0.000457151 0.000461297
1 0.75 0.001 4.48169 0 0.000604297 0.00060162 0.000607014
1 0.75 0.001 7.38906 0 0.000712158 0.000709026 0.000715383
1 0.75 0.001 12.1825 0 0.000803 0.00079943 0.000806595
1 0.75 0.001 20.0855 0 0.000875369 0.000871572 0.000879279
1 0.75 0.001 33.1155 0 0.000938758 0.000934682 0.000942729
1 0.75 0.001 54.5982 0 0.000991793 0.000987517 0.000996085
1 0.75 0.001 90.0171 0 0.00103819 0.00103382 0.00104255
1 0.75 0.001 148.413 0 0.00107624 0.00107169 0.00108083
1 0.75 0.001 244.692 0 0.00107624 0.00107166 0.0010808
