c alpha coal mu x0 hom homLow homHigh
250 0.25 0.01 0.001 0 0.000269245 0.000266009 0.00027259
250 0.25 0.01 0.01 0 0.000263489 0.000260197 0.000266766
250 0.25 0.01 0.1 0 0.000215638 0.000213018 0.000218269
250 0.25 0.01 1 0 3.33991e-05 3.29846e-05 3.38131e-05
250 0.25 0.1 0.001 0 0.00268726 0.00265436 0.00272013
250 0.25 0.1 0.01 0 0.00262993 0.00259716 0.0026629
250 0.25 0.1 0.1 0 0.0021531 0.00212679 0.0021791
250 0.25 0.1 1 0 0.000333915 0.000329744 0.000338014
250 0.25 1 0.001 0 0.0265515 0.0262346 0.0268766
250 0.25 1 0.01 0 0.0259918 0.0256681 0.0263065
250 0.25 1 0.1 0 0.0213272 0.0210711 0.0215899
250 0.25 1 1 0 0.00333439 0.00329175 0.00337529
250 0.25 0.01 0.001 1 0.000161334 0.000158763 0.000163899
250 0.25 0.01 0.01 1 0.000157515 0.000154971 0.000160021
250 0.25 0.01 0.1 1 0.000127618 0.000125585 0.000129657
250 0.25 0.01 1 1 1.90285e-05 1.87105e-05 1.93527e-05
250 0.25 0.1 0.001 1 0.00161073 0.00158584 0.0016363
250 0.25 0.1 0.01 1 0.00157264 0.00154762 0.00159766
250 0.25 0.1 0.1 1 0.00127448 0.00125464 0.00129509
250 0.25 0.1 1 1 0.000190245 0.000187052 0.000193427
250 0.25 1 0.001 1 0.0159426 0.0156925 0.01619
250 0.25 1 0.01 1 0.0155682 0.0153216 0.0158111
250 0.25 1 0.1 1 0.0126381 0.0124463 0.0128365
250 0.25 1 1 1 0.00189994 0.00186874 0.0019312
250 0.25 0.01 0.001 2.7 0.000105119 0.000102997 0.000107214
250 0.25 0.01 0.01 2.7 0.00010239 0.000100334 0.000104388
250 0.25 0.01 0.1 2.7 8.1435e-05 7.98123e-05 8.30431e-05
250 0.25 0.01 1 2.7 1.14697e-05 1.12294e-05 1.17106e-05
250 0.25 0.1 0.001 2.7 0.00104838 0.00102764 0.00106949
250 0.25 0.1 0.01 2.7 0.00102124 0.00100069 0.00104109
250 0.25 0.1 0.1 2.7 0.000812688 0.000796402 0.000828745
250 0.25 0.1 1 2.7 0.000114665 0.000112211 0.000117127
250 0.25 1 0.001 2.7 0.0103153 0.0101171 0.0105166
250 0.25 1 0.01 2.7 0.0100525 0.00985998 0.0102595
250 0.25 1 0.1 2.7 0.0080263 0.00786811 0.00818484
250 0.25 1 1 2.7 0.00114466 0.00112061 0.00116918
250 0.25 0.01 0.001 54.6 1.6513e-05 1.56838e-05 1.7324e-05
250 0.25 0.01 0.01 54.6 1.55993e-05 1.48169e-05 1.6418e-05
250 0.25 0.01 0.1 54.6 1.10753e-05 1.04918e-05 1.16534e-05
250 0.25 0.01 1 54.6 1.10793e-06 1.03264e-06 1.183e-06
250 0.25 0.1 0.001 54.6 0.000164728 0.000156573 0.000172899
250 0.25 0.1 0.01 54.6 0.000155615 0.000147721 0.000163401
250 0.25 0.1 0.1 54.6 0.000110538 0.000105044 0.00011647
250 0.25 0.1 1 54.6 1.10749e-05 1.03172e-05 1.18155e-05
250 0.25 1 0.001 54.6 0.00162323 0.0015414 0.00170277
250 0.25 1 0.01 54.6 0.0015335 0.00145655 0.00160753
250 0.25 1 0.1 54.6 0.00109207 0.0010372 0.00114651
250 0.25 1 1 54.6 0.000110467 0.000103098 0.000117859
250 0.25 0.01 0.001 7.39 6.0445e-05 5.88335e-05 6.2013e-05
250 0.25 0.01 0.01 7.39 5.84726e-05 5.69324e-05 6.00183e-05
250 0.25 0.01 0.1 7.39 4.54732e-05 4.42656e-05 4.66694e-05
250 0.25 0.01 1 7.39 5.91448e-06 5.74233e-06 6.08572e-06
250 0.25 0.1 0.001 7.39 0.000603222 0.000587568 0.000618745
250 0.25 0.1 0.01 7.39 0.000583559 0.000568266 0.000598821
250 0.25 0.1 0.1 7.39 0.00045398 0.000442084 0.000465806
250 0.25 0.1 1 7.39 5.91287e-05 5.73707e-05 6.09296e-05
250 0.25 1 0.001 7.39 0.00595481 0.00579998 0.00610676
250 0.25 1 0.01 7.39 0.00576207 0.00561104 0.00590879
250 0.25 1 0.1 7.39 0.0044924 0.00437584 0.00460782
250 0.25 1 1 7.39 0.000590269 0.000573029 0.00060759
250 0.25 0.01 0.001 20.09 3.24762e-05 3.13113e-05 3.36309e-05
250 0.25 0.01 0.01 20.09 3.12614e-05 3.01618e-05 3.23778e-05
250 0.25 0.01 0.1 20.09 2.36192e-05 2.27627e-05 2.44796e-05
250 0.25 0.01 1 20.09 2.72566e-06 2.61148e-06 2.84333e-06
250 0.25 0.1 0.001 20.09 0.000323936 0.000312358 0.000335444
250 0.25 0.1 0.01 20.09 0.000311835 0.00030044 0.000323129
250 0.25 0.1 0.1 20.09 0.000235683 0.00022709 0.000244213
250 0.25 0.1 1 20.09 2.72456e-05 2.60949e-05 2.84447e-05
250 0.25 1 0.001 20.09 0.00318731 0.00307392 0.00329979
250 0.25 1 0.01 20.09 0.00306923 0.00295733 0.00317964
250 0.25 1 0.1 20.09 0.00232474 0.00223893 0.00240833
250 0.25 1 1 20.09 0.000271764 0.000260076 0.000283794
250 0.25 0.01 0.001 22026 5.2263e-07 3.8439e-07 6.60659e-07
250 0.25 0.01 0.01 22026 2.09171e-07 1.1868e-07 2.97214e-07
250 0.25 0.01 0.1 22026 3.97972e-08 1.96686e-08 5.99258e-08
250 0.25 0.01 1 22026 1.84943e-12 3.33436e-14 3.66543e-12
250 0.25 0.1 0.001 22026 5.19296e-06 3.83484e-06 6.53913e-06
250 0.25 0.1 0.01 22026 2.06436e-06 1.19261e-06 2.94309e-06
250 0.25 0.1 0.1 22026 3.94195e-07 1.9291e-07 5.95547e-07
250 0.25 0.1 1 22026 1.84943e-11 3.33436e-13 3.66543e-11
250 0.25 1 0.001 22026 4.98285e-05 3.73013e-05 6.24826e-05
250 0.25 1 0.01 22026 1.89199e-05 1.12742e-05 2.64899e-05
250 0.25 1 0.1 22026 3.70397e-06 1.69078e-06 5.67641e-06
250 0.25 1 1 22026 1.84943e-10 3.33436e-12 3.66542e-10
250 0.25 0.01 0.001 59874 4.30309e-07 3.82229e-07 4.78098e-07
250 0.25 0.01 0.01 59874 1.34455e-07 1.07136e-07 1.61912e-07
250 0.25 0.01 0.1 59874 3.27158e-08 2.20154e-08 4.34162e-08
250 0.25 0.01 1 59874 1.10541e-09 2.00426e-11 2.18803e-09
250 0.25 0.1 0.001 59874 4.30211e-06 3.81805e-06 4.7854e-06
250 0.25 0.1 0.01 59874 1.34455e-06 1.06708e-06 1.62205e-06
250 0.25 0.1 0.1 59874 3.27158e-07 2.19388e-07 4.28912e-07
250 0.25 0.1 1 59874 1.10541e-08 2.00408e-10 2.18819e-08
250 0.25 1 0.001 59874 4.29595e-05 3.81852e-05 4.78813e-05
250 0.25 1 0.01 59874 1.34455e-05 1.06537e-05 1.6214e-05
250 0.25 1 0.1 59874 3.27158e-06 2.23718e-06 4.32925e-06
250 0.25 1 1 59874 1.10541e-07 2.00541e-09 2.18813e-07
250 0.25 0.01 0.001 148.41 8.24669e-06 7.65454e-06 8.82851e-06
250 0.25 0.01 0.01 148.41 7.61355e-06 7.06479e-06 8.14772e-06
250 0.25 0.01 0.1 148.41 5.17498e-06 4.79654e-06 5.56008e-06
250 0.25 0.01 1 148.41 4.36339e-07 3.8896e-07 4.82859e-07
250 0.25 0.1 0.001 148.41 8.23654e-05 7.65143e-05 8.8026e-05
250 0.25 0.1 0.01 148.41 7.60398e-05 7.05308e-05 8.1533e-05
250 0.25 0.1 0.1 148.41 5.16964e-05 4.77755e-05 5.54759e-05
250 0.25 0.1 1 148.41 4.36274e-06 3.88772e-06 4.82717e-06
250 0.25 1 0.001 148.41 0.000817253 0.000760828 0.000872884
250 0.25 1 0.01 148.41 0.000754369 0.000701457 0.000807709
250 0.25 1 0.1 148.41 0.000513594 0.000476035 0.000551281
250 0.25 1 1 148.41 4.35866e-05 3.89181e-05 4.81406e-05
250 0.25 0.01 0.001 162755 4.61196e-07 4.12189e-07 5.10164e-07
250 0.25 0.01 0.01 162755 8.45247e-08 6.10155e-08 1.077e-07
250 0.25 0.01 0.1 162755 1.45889e-08 6.04072e-09 2.29611e-08
250 0.25 0.01 1 162755 2.24946e-11 6.68521e-15 4.49816e-11
250 0.25 0.1 0.001 162755 4.59688e-06 4.10869e-06 5.09161e-06
250 0.25 0.1 0.01 162755 8.38939e-07 6.02262e-07 1.07129e-06
250 0.25 0.1 0.1 162755 1.42825e-07 5.93724e-08 2.21313e-07
250 0.25 0.1 1 162755 2.22659e-10 6.68521e-14 4.45242e-10
250 0.25 1 0.001 162755 4.50188e-05 4.03273e-05 4.97943e-05
250 0.25 1 0.01 162755 7.99192e-06 5.83269e-06 1.00778e-05
250 0.25 1 0.1 162755 1.23524e-06 5.76396e-07 1.86807e-06
250 0.25 1 1 162755 2.08249e-09 6.68551e-13 4.16422e-09
250 0.25 0.01 0.001 403.43 4.94556e-06 4.48963e-06 5.39135e-06
