c alpha coal mu x0 hom homLow homHigh
0.2 0.5 0.01 0.0001 0.0625 0.0199245 0.019683 0.0201445
0.2 0.5 0.01 0.001 0.0625 0.0196165 0.0193919 0.019841
0.2 0.5 0.01 0.01 0.0625 0.0177687 0.0175722 0.0179624
0.2 0.5 0.01 0.1 0.0625 0.0104537 0.0103555 0.0105514
0.2 0.5 0.01 0.0001 0.125 0.0196598 0.0194291 0.0198893
0.2 0.5 0.01 0.001 0.125 0.0193761 0.0191495 0.0195996
0.2 0.5 0.01 0.01 0.125 0.0175354 0.0173412 0.0177292
0.2 0.5 0.01 0.1 0.125 0.0102694 0.0101731 0.0103679
0.2 0.5 0.01 0.0001 0.25 0.0191278 0.0188974 0.0193444
0.2 0.5 0.01 0.001 0.25 0.0188366 0.018616 0.0190616
0.2 0.5 0.01 0.01 0.25 0.017009 0.0168221 0.0172042
0.2 0.5 0.01 0.1 0.25 0.00993373 0.0098387 0.0100327
0.2 0.5 0.01 0.0001 0.5 0.0151008 0.0148866 0.0153126
0.2 0.5 0.01 0.001 0.5 0.0148334 0.014623 0.0150365
0.2 0.5 0.01 0.01 0.5 0.0131117 0.0129344 0.0132925
0.2 0.5 0.01 0.1 0.5 0.00699243 0.00690464 0.00707706
0.2 0.5 0.01 0.0001 1 0.0091175 0.00893116 0.00930473
0.2 0.5 0.01 0.001 1 0.00887656 0.00869849 0.00905794
0.2 0.5 0.01 0.01 1 0.00743704 0.0072874 0.00758303
0.2 0.5 0.01 0.1 1 0.00299852 0.00293598 0.00305711
0.2 0.5 0.01 0.0001 128 0.000840148 0.000776389 0.000904371
0.2 0.5 0.01 0.001 128 0.000720968 0.000665071 0.000776945
0.2 0.5 0.01 0.01 128 0.000287771 0.000261486 0.000314274
0.2 0.5 0.01 0.1 128 9.56827e-06 7.55707e-06 1.15485e-05
0.2 0.5 0.01 0.0001 16 0.0021063 0.00201105 0.00220283
0.2 0.5 0.01 0.001 16 0.00194037 0.00184939 0.00202891
0.2 0.5 0.01 0.01 16 0.00118545 0.00112908 0.00124254
0.2 0.5 0.01 0.1 16 0.000162248 0.000150144 0.000174776
0.2 0.5 0.01 0.0001 2 0.00645422 0.00629596 0.00661358
0.2 0.5 0.01 0.001 2 0.00620873 0.00605547 0.0063658
0.2 0.5 0.01 0.01 2 0.00488923 0.00476518 0.00500958
0.2 0.5 0.01 0.1 2 0.0015593 0.00151607 0.00160277
0.2 0.5 0.01 0.0001 256 0.000544681 0.000493823 0.000596089
0.2 0.5 0.01 0.001 256 0.000420353 0.000379731 0.000461198
0.2 0.5 0.01 0.01 256 0.000122648 0.000106451 0.000139505
0.2 0.5 0.01 0.1 256 4.37266e-06 2.78996e-06 5.85879e-06
0.2 0.5 0.01 0.0001 32 0.00150058 0.0014225 0.00157871
0.2 0.5 0.01 0.001 32 0.00133088 0.00125899 0.00140073
0.2 0.5 0.01 0.01 32 0.000679546 0.00064033 0.000719874
0.2 0.5 0.01 0.1 32 6.16077e-05 5.47334e-05 6.88256e-05
0.2 0.5 0.01 0.0001 4 0.00425586 0.00412471 0.00439042
0.2 0.5 0.01 0.001 4 0.00404797 0.00392196 0.00417562
0.2 0.5 0.01 0.01 4 0.00291184 0.00282036 0.00300556
0.2 0.5 0.01 0.1 4 0.000700355 0.000671438 0.000728034
0.2 0.5 0.01 0.0001 64 0.00112796 0.00105669 0.00119879
0.2 0.5 0.01 0.001 64 0.000977056 0.000914581 0.00104148
0.2 0.5 0.01 0.01 64 0.000443466 0.000410473 0.000476794
0.2 0.5 0.01 0.1 64 3.52623e-05 2.98901e-05 4.06067e-05
0.2 0.5 0.01 0.0001 8 0.00300084 0.00288517 0.00311322
0.2 0.5 0.01 0.001 8 0.0028127 0.00270602 0.00292286
0.2 0.5 0.01 0.01 8 0.0018955 0.00181903 0.00197145
0.2 0.5 0.01 0.1 8 0.00035427 0.000334222 0.000373264
