c alpha coal mu x0 hom homLow homHigh
10.0 0.5 1 0.001 0 0.00442298 0.00440488 0.00443717
10.0 0.5 1 0.01 0 0.00433664 0.00432036 0.00435379
10.0 0.5 1 0.1 0 0.00358506 0.00357174 0.00359832
10.0 0.5 1 0.001 15 0.000149627 0.000146898 0.000152734
10.0 0.5 1 0.01 15 0.000141899 0.000139367 0.000144874
10.0 0.5 1 0.1 15 0.000103043 0.000100832 0.000105194
10.0 0.5 1 0.001 19 0.000105874 0.000103181 0.00010836
10.0 0.5 1 0.01 19 9.9617e-05 9.72961e-05 0.000101991
10.0 0.5 1 0.1 19 7.06485e-05 6.8922e-05 7.24017e-05
10.0 0.5 1 0.001 22 8.97341e-05 8.74408e-05 9.20243e-05
10.0 0.5 1 0.01 22 8.41085e-05 8.17303e-05 8.64449e-05
10.0 0.5 1 0.1 22 5.88109e-05 5.73079e-05 6.04245e-05
10.0 0.5 1 0.001 26 7.11134e-05 6.89075e-05 7.31822e-05
10.0 0.5 1 0.01 26 6.62773e-05 6.44235e-05 6.8282e-05
10.0 0.5 1 0.1 26 4.55545e-05 4.41955e-05 4.70444e-05
10.0 0.5 1 0.001 32 5.40447e-05 5.21989e-05 5.5878e-05
10.0 0.5 1 0.01 32 4.96191e-05 4.7907e-05 5.13626e-05
10.0 0.5 1 0.1 32 3.30903e-05 3.18951e-05 3.43183e-05
10.0 0.5 1 0.001 38 4.28197e-05 4.12339e-05 4.44467e-05
10.0 0.5 1 0.01 38 3.82084e-05 3.68053e-05 3.97828e-05
10.0 0.5 1 0.1 38 2.43698e-05 2.33085e-05 2.53251e-05
10.0 0.5 1 0.001 46 3.37462e-05 3.2361e-05 3.51902e-05
10.0 0.5 1 0.01 46 2.96897e-05 2.83653e-05 3.09949e-05
10.0 0.5 1 0.1 46 1.83017e-05 1.74233e-05 1.92332e-05
10.0 0.5 1 0.001 55 2.86578e-05 2.74156e-05 2.99526e-05
10.0 0.5 1 0.01 55 2.50916e-05 2.38502e-05 2.64031e-05
10.0 0.5 1 0.1 55 1.50591e-05 1.43563e-05 1.57972e-05
10.0 0.5 1 0.001 66 2.10636e-05 1.99865e-05 2.22657e-05
10.0 0.5 1 0.01 66 1.76076e-05 1.66255e-05 1.85901e-05
10.0 0.5 1 0.1 66 1.01959e-05 9.58038e-06 1.08424e-05
10.0 0.5 1 0.001 80 1.55969e-05 1.47156e-05 1.65516e-05
10.0 0.5 1 0.01 80 1.26423e-05 1.17844e-05 1.35186e-05
10.0 0.5 1 0.1 80 7.202e-06 6.64763e-06 7.72343e-06
10.0 0.5 1 0.001 95 1.28185e-05 1.18605e-05 1.36034e-05
10.0 0.5 1 0.01 95 9.86049e-06 9.09533e-06 1.05765e-05
10.0 0.5 1 0.1 95 5.30718e-06 4.8716e-06 5.71136e-06
10.0 0.5 1 0.001 115 1.0225e-05 9.40919e-06 1.09507e-05
10.0 0.5 1 0.01 115 6.97208e-06 6.31869e-06 7.6089e-06
10.0 0.5 1 0.1 115 3.48117e-06 3.15362e-06 3.8429e-06
10.0 0.5 1 0.001 137 8.31048e-06 7.64011e-06 8.96484e-06
10.0 0.5 1 0.01 137 5.31523e-06 4.76335e-06 5.80711e-06
10.0 0.5 1 0.1 137 2.31412e-06 2.03682e-06 2.5988e-06
10.0 0.5 1 0.001 165 6.60101e-06 6.02793e-06 7.17795e-06
10.0 0.5 1 0.01 165 4.08575e-06 3.60022e-06 4.56247e-06
10.0 0.5 1 0.1 165 1.97391e-06 1.70251e-06 2.27267e-06
10.0 0.5 1 0.001 198 5.76175e-06 5.20999e-06 6.26852e-06
10.0 0.5 1 0.01 198 3.03586e-06 2.63394e-06 3.4522e-06
10.0 0.5 1 0.1 198 1.16289e-06 9.75297e-07 1.35329e-06
10.0 0.5 1 0.001 237 5.63398e-06 5.11272e-06 6.1898e-06
10.0 0.5 1 0.01 237 2.70178e-06 2.30273e-06 3.06214e-06
