c alpha coal T x0 cdf cdfLow cdfHigh
1 1 0.001 1 0 0 0 0
1 1 0.001 2.71828 0 0.000448993 0.000442598 0.000455289
1 1 0.001 7.38906 0 0.000796627 0.000786239 0.000807211
1 1 0.001 20.0855 0 0.00113342 0.00111907 0.00114761
1 1 0.001 54.5982 0 0.00145533 0.0014377 0.00147269
1 1 0.001 148.413 0 0.001765 0.00174433 0.0017857
1 1 0.001 403.429 0 0.00208974 0.00206442 0.00211449
1 1 0.001 1096.63 0 0.00240826 0.00238061 0.00243659
1 1 0.001 2980.96 0 0.00271747 0.00268686 0.00274952
1 1 0.001 8103.08 0 0.00304299 0.00300835 0.00307736
1 1 0.001 22026.5 0 0.0033425 0.00330425 0.00338034
1 1 0.001 59874.1 0 0.00366548 0.00362421 0.00370637
1 1 0.001 162755 0 0.00398848 0.00394373 0.00403131
1 1 0.001 442413 0 0.00431028 0.00426395 0.00435837
1 1 0.001 1.2026e+06 0 0.0046401 0.00458817 0.00468995
1 1 0.01 1 0 0 0 0
1 1 0.01 2.71828 0 0.00446247 0.00439826 0.00452574
1 1 0.01 7.38906 0 0.00788841 0.00778268 0.00798991
1 1 0.01 20.0855 0 0.0111853 0.0110448 0.0113255
1 1 0.01 54.5982 0 0.0143173 0.0141442 0.0144924
1 1 0.01 148.413 0 0.017315 0.0171117 0.0175155
1 1 0.01 403.429 0 0.0204348 0.0201989 0.0206708
1 1 0.01 1096.63 0 0.0234753 0.023211 0.0237437
1 1 0.01 2980.96 0 0.0264139 0.0261217 0.026708
1 1 0.01 8103.08 0 0.0294909 0.0291617 0.0298197
1 1 0.01 22026.5 0 0.0323077 0.0319492 0.0326647
1 1 0.01 59874.1 0 0.0353238 0.0349392 0.0357105
1 1 0.01 162755 0 0.0383335 0.0379228 0.0387496
1 1 0.01 442413 0 0.0413149 0.0408698 0.0417518
1 1 0.01 1.2026e+06 0 0.044348 0.0438913 0.0448148
1 1 0.1 1 0 0 0 0
1 1 0.1 2.71828 0 0.0420122 0.0414276 0.0426008
1 1 0.1 7.38906 0 0.0717658 0.0708495 0.0726509
1 1 0.1 20.0855 0 0.0987282 0.0975798 0.0998817
1 1 0.1 54.5982 0 0.123025 0.121668 0.12436
1 1 0.1 148.413 0 0.145332 0.143828 0.146863
1 1 0.1 403.429 0 0.167112 0.165415 0.168809
1 1 0.1 1096.63 0 0.187399 0.185564 0.189167
1 1 0.1 2980.96 0 0.206482 0.204552 0.208424
1 1 0.1 8103.08 0 0.225499 0.223421 0.227554
1 1 0.1 22026.5 0 0.242235 0.240057 0.244351
1 1 0.1 59874.1 0 0.259287 0.257053 0.2615
1 1 0.1 162755 0 0.275989 0.273612 0.278327
1 1 0.1 442413 0 0.292011 0.289657 0.294451
1 1 0.1 1.2026e+06 0 0.307556 0.305095 0.310008
1 1 1 1 0 0 0 0
1 1 1 2.71828 0 0.251167 0.247906 0.254503
1 1 1 7.38906 0 0.358612 0.354737 0.362422
1 1 1 20.0855 0 0.435207 0.431145 0.439233
1 1 1 54.5982 0 0.492971 0.488868 0.497048
1 1 1 148.413 0 0.540493 0.536426 0.54447
1 1 1 403.429 0 0.578064 0.573992 0.582209
1 1 1 1096.63 0 0.610331 0.606291 0.614299
1 1 1 2980.96 0 0.639129 0.635307 0.643161
1 1 1 8103.08 0 0.664541 0.66065 0.668468
1 1 1 22026.5 0 0.685126 0.681161 0.689009
1 1 1 59874.1 0 0.702602 0.698794 0.706378
1 1 1 162755 0 0.72035 0.716611 0.724158
1 1 1 442413 0 0.737 0.733339 0.740635
1 1 1 1.2026e+06 0 0.750685 0.747099 0.75419
c alpha coal T x0 cdf cdfLow cdfHigh
5 1.25 0.01 1 0 0 0 0
5 1.25 0.01 1.64872 0 0.00059104 0.000567159 0.000613925
5 1.25 0.01 2.71828 0 0.000928999 0.000899119 0.000958869
5 1.25 0.01 4.48169 0 0.00139063 0.00135268 0.00142829
5 1.25 0.01 7.38906 0 0.00182891 0.00178437 0.00187342
5 1.25 0.01 12.1825 0 0.00230476 0.00225275 0.00235567
5 1.25 0.01 20.0855 0 0.0027972 0.00274154 0.00285477
5 1.25 0.01 33.1155 0 0.00336193 0.00329681 0.00342537
5 1.25 0.01 54.5982 0 0.00398257 0.00391151 0.0040553
5 1.25 0.01 90.0171 0 0.00466743 0.00458839 0.00474654
5 1.25 0.01 148.413 0 0.00539223 0.00530446 0.00547754
5 1.25 0.01 244.692 0 0.00621181 0.00611618 0.00630999
5 1.25 0.01 403.429 0 0.00712388 0.00702023 0.00723275
5 1.25 0.01 665.142 0 0.00815202 0.00803268 0.00826787
5 1.25 0.01 1096.63 0 0.00931471 0.00918838 0.00944115
5 1.25 0.01 1808.04 0 0.0105346 0.0103913 0.0106717
5 1.25 0.01 2980.96 0 0.0119372 0.0117849 0.0120934
5 1.25 0.01 4914.77 0 0.0134546 0.0132837 0.0136218
5 1.25 0.01 8103.08 0 0.0150372 0.0148525 0.0152164
5 1.25 0.01 13359.7 0 0.0168558 0.0166515 0.0170558
5 1.25 0.01 22026.5 0 0.0189066 0.0186825 0.0191291
5 1.25 0.01 36315.5 0 0.0211369 0.0208943 0.0213807
5 1.25 0.01 59874.1 0 0.0235959 0.0233325 0.0238648
5 1.25 0.01 98715.8 0 0.026203 0.0259133 0.0264986
5 1.25 0.01 162755 0 0.029229 0.0289098 0.029542
5 1.25 0.01 268337 0 0.0325569 0.0322065 0.0329011
5 1.25 0.01 442413 0 0.035954 0.0355864 0.036329
5 1.25 0.01 729416 0 0.0398638 0.0394559 0.0402743
5 1.25 0.01 1.2026e+06 0 0.0440124 0.0435749 0.0444667
5 1.25 0.1 1 0 0 0 0
5 1.25 0.1 1.64872 0 0.00565266 0.00543378 0.00588105
5 1.25 0.1 2.71828 0 0.00885649 0.00857191 0.00914515
5 1.25 0.1 4.48169 0 0.013186 0.0128224 0.013548
5 1.25 0.1 7.38906 0 0.0172555 0.0168377 0.0176795
5 1.25 0.1 12.1825 0 0.0216666 0.021198 0.0221545
5 1.25 0.1 20.0855 0 0.0262103 0.0256907 0.0267467
5 1.25 0.1 33.1155 0 0.0313402 0.030767 0.0319243
5 1.25 0.1 54.5982 0 0.0369456 0.0362922 0.0375744
5 1.25 0.1 90.0171 0 0.0430535 0.0423577 0.0437783
5 1.25 0.1 148.413 0 0.0494781 0.0487115 0.0502285
5 1.25 0.1 244.692 0 0.056615 0.0557949 0.0574491
5 1.25 0.1 403.429 0 0.0644104 0.0635079 0.0653117
5 1.25 0.1 665.142 0 0.0731512 0.0721658 0.0741364
5 1.25 0.1 1096.63 0 0.0827731 0.0816941 0.0838346
5 1.25 0.1 1808.04 0 0.0928345 0.0916381 0.0939738
5 1.25 0.1 2980.96 0 0.104086 0.102836 0.105306
5 1.25 0.1 4914.77 0 0.115899 0.114611 0.117255
5 1.25 0.1 8103.08 0 0.128028 0.12659 0.129427
5 1.25 0.1 13359.7 0 0.141505 0.13999 0.143007
5 1.25 0.1 22026.5 0 0.15639 0.154771 0.158057
5 1.25 0.1 36315.5 0 0.172071 0.170344 0.173822
5 1.25 0.1 59874.1 0 0.188766 0.186957 0.190599
5 1.25 0.1 98715.8 0 0.206048 0.204123 0.207996
5 1.25 0.1 162755 0 0.225343 0.22329 0.2274
5 1.25 0.1 268337 0 0.245491 0.24336 0.24757
5 1.25 0.1 442413 0 0.265288 0.263127 0.267541
5 1.25 0.1 729416 0 0.286663 0.284263 0.289011
5 1.25 0.1 1.2026e+06 0 0.308469 0.306011 0.31088
5 1.25 1 1 0 0 0 0
5 1.25 1 2.71828 0 0.0576415 0.0558185 0.0594311
5 1.25 1 7.38906 0 0.105504 0.103078 0.107964
5 1.25 1 20.0855 0 0.154261 0.151436 0.157143
5 1.25 1 54.5982 0 0.206073 0.202869 0.209333
5 1.25 1 148.413 0 0.260718 0.257131 0.264278
5 1.25 1 403.429 0 0.317167 0.313445 0.320893
5 1.25 1 1096.63 0 0.37789 0.374061 0.381906
5 1.25 1 2980.96 0 0.439687 0.435602 0.443813
5 1.25 1 8103.08 0 0.49884 0.494651 0.503074
5 1.25 1 22026.5 0 0.556257 0.55214 0.560404
5 1.25 1 59874.1 0 0.611676 0.607624 0.615769
5 1.25 1 162755 0 0.663083 0.659115 0.667158
5 1.25 1 442413 0 0.709364 0.705552 0.713058
5 1.25 1 1.2026e+06 0 0.749068 0.745419 0.752773
5 1.45 0.01 1 0 0 0 0
5 1.45 0.01 1.64872 0 0.00058905 0.000565169 0.00061293
5 1.45 0.01 2.71828 0 0.000928004 0.000898183 0.000956859
5 1.45 0.01 4.48169 0 0.00135514 0.00131744 0.00139274
5 1.45 0.01 7.38906 0 0.00189597 0.00185134 0.00194079
5 1.45 0.01 12.1825 0 0.00250261 0.00245105 0.00255608
5 1.45 0.01 20.0855 0 0.00316123 0.00310016 0.00322084
5 1.45 0.01 33.1155 0 0.00392561 0.00385821 0.00399607
5 1.45 0.01 54.5982 0 0.00484673 0.00476689 0.00492509
5 1.45 0.01 90.0171 0 0.0059639 0.00587214 0.00605514
5 1.45 0.01 148.413 0 0.0071649 0.00706295 0.00726779
5 1.45 0.01 244.692 0 0.00861009 0.00849288 0.00873284
5 1.45 0.01 403.429 0 0.0103046 0.0101661 0.0104414
5 1.45 0.01 665.142 0 0.012305 0.0121549 0.0124571
5 1.45 0.01 1096.63 0 0.0146412 0.0144665 0.0148152
5 1.45 0.01 1808.04 0 0.0174104 0.0172137 0.0176081
5 1.45 0.01 2980.96 0 0.0204277 0.0202077 0.0206466
5 1.45 0.01 4914.77 0 0.0241073 0.0238564 0.0243579
5 1.45 0.01 8103.08 0 0.0281937 0.0278977 0.028478
5 1.45 0.01 13359.7 0 0.0330943 0.0327749 0.0334285
5 1.45 0.01 22026.5 0 0.038635 0.0382682 0.0390062
5 1.45 0.01 36315.5 0 0.0448966 0.044465 0.0453133
5 1.45 0.01 59874.1 0 0.0523633 0.0518775 0.0528537
5 1.45 0.01 98715.8 0 0.0606435 0.0600868 0.0611922
5 1.45 0.01 162755 0 0.0703867 0.0697617 0.0710056
5 1.45 0.01 268337 0 0.0815348 0.0808091 0.0822621
5 1.45 0.01 442413 0 0.0938704 0.0930467 0.0946844
5 1.45 0.01 729416 0 0.108271 0.107333 0.109191
5 1.45 0.01 1.2026e+06 0 0.124676 0.123622 0.125739
5 1.45 0.1 1 0 0 0 0
5 1.45 0.1 1.64872 0 0.00563362 0.00540523 0.0058525
5 1.45 0.1 2.71828 0 0.00884697 0.00856511 0.00913246
5 1.45 0.1 4.48169 0 0.0128735 0.0125236 0.0132218
5 1.45 0.1 7.38906 0 0.0179283 0.0174953 0.0183564
5 1.45 0.1 12.1825 0 0.0235446 0.0230562 0.0240293
5 1.45 0.1 20.0855 0 0.0295991 0.0290502 0.0301542
5 1.45 0.1 33.1155 0 0.0365322 0.0359135 0.0371639
5 1.45 0.1 54.5982 0 0.0447793 0.0440695 0.0454749
5 1.45 0.1 90.0171 0 0.0546061 0.0537846 0.0553977
5 1.45 0.1 148.413 0 0.0649598 0.0640498 0.0658579
5 1.45 0.1 244.692 0 0.0771802 0.0761584 0.078175
5 1.45 0.1 403.429 0 0.0912598 0.0901486 0.0923967
5 1.45 0.1 665.142 0 0.10755 0.106349 0.108785
5 1.45 0.1 1096.63 0 0.12595 0.124589 0.127297
5 1.45 0.1 1808.04 0 0.147011 0.14549 0.148474
5 1.45 0.1 2980.96 0 0.168863 0.167219 0.170487
5 1.45 0.1 4914.77 0 0.194677 0.192919 0.196442
5 1.45 0.1 8103.08 0 0.221765 0.219773 0.223684
5 1.45 0.1 13359.7 0 0.252394 0.250315 0.254495
5 1.45 0.1 22026.5 0 0.284881 0.282663 0.287199
5 1.45 0.1 36315.5 0 0.318536 0.316117 0.320935
5 1.45 0.1 59874.1 0 0.355445 0.352858 0.358037
5 1.45 0.1 98715.8 0 0.392734 0.390063 0.395432
5 1.45 0.1 162755 0 0.431283 0.428529 0.434016
