c alpha coal mu x0 hom homLow homHigh
10 0.5 1 1 0 0.000571159 0.000570497 0.000571854
10 0.5 1 1 46 1.25088e-06 1.22133e-06 1.28057e-06
10 0.5 1 1 15.4 1.06523e-05 1.05601e-05 1.07373e-05
10 0.5 1 1 18.5 7.84258e-06 7.76291e-06 7.91935e-06
10 0.5 1 1 22.2 5.38538e-06 5.32106e-06 5.44849e-06
10 0.5 1 1 26.2 3.91084e-06 3.85443e-06 3.96423e-06
10 0.5 1 1 31.9 2.6304e-06 2.58732e-06 2.67426e-06
10 0.5 1 1 38.4 1.87706e-06 1.84166e-06 1.91759e-06
10 0.5 1 1 55.2 8.59536e-07 8.35285e-07 8.84314e-07
10 0.5 1 1 66.2 6.01703e-07 5.80695e-07 6.24506e-07
10 0.5 1 1 79.5 4.13759e-07 3.96689e-07 4.30595e-07
10 0.5 1 1 95.4 2.71619e-07 2.57547e-07 2.84311e-07
10 0.5 1 1 114.5 1.81942e-07 1.70842e-07 1.93221e-07
10 0.5 1 1 137.4 1.15282e-07 1.06981e-07 1.24332e-07
10 0.5 1 1 164.8 8.48537e-08 7.64966e-08 9.36275e-08
10 0.5 1 1 197.8 5.58009e-08 4.94742e-08 6.1812e-08
10 0.5 1 1 237.4 2.57273e-08 2.21114e-08 2.95875e-08
10 1 1 1 0 0.000239265 0.000238807 0.000239687
10 1 1 1 46 1.88035e-06 1.84576e-06 1.91892e-06
10 1 1 1 15.4 2.18967e-05 2.17763e-05 2.20289e-05
10 1 1 1 18.5 1.56551e-05 1.55519e-05 1.57586e-05
10 1 1 1 22.2 1.0933e-05 1.08409e-05 1.10235e-05
10 1 1 1 26.2 7.4389e-06 7.36502e-06 7.50952e-06
10 1 1 1 31.9 4.83924e-06 4.7862e-06 4.8997e-06
10 1 1 1 38.4 3.00166e-06 2.95841e-06 3.05236e-06
10 1 1 1 55.2 1.24139e-06 1.21178e-06 1.27023e-06
10 1 1 1 66.2 7.00495e-07 6.78677e-07 7.22958e-07
10 1 1 1 79.5 4.20166e-07 4.02054e-07 4.37039e-07
10 1 1 1 95.4 2.63603e-07 2.51189e-07 2.76974e-07
10 1 1 1 114.5 1.4847e-07 1.38125e-07 1.58409e-07
10 1 1 1 137.4 9.49467e-08 8.67175e-08 1.03123e-07
10 1 1 1 164.8 5.00192e-08 4.43595e-08 5.615e-08
10 1 1 1 197.8 2.95095e-08 2.4868e-08 3.41204e-08
10 1 1 1 237.4 1.46941e-08 1.15134e-08 1.75713e-08
10 1.25 1 1 0 0.000220548 0.000220138 0.000220978
10 1.25 1 1 46 1.81589e-06 1.78127e-06 1.8512e-06
10 1.25 1 1 15.4 2.67906e-05 2.66513e-05 2.69311e-05
10 1.25 1 1 18.5 1.93379e-05 1.92124e-05 1.94581e-05
10 1.25 1 1 22.2 1.32005e-05 1.30982e-05 1.3296e-05
10 1.25 1 1 26.2 9.06019e-06 8.97783e-06 9.13871e-06
10 1.25 1 1 31.9 5.50637e-06 5.43889e-06 5.569e-06
10 1.25 1 1 38.4 3.22162e-06 3.1728e-06 3.27108e-06
10 1.25 1 1 55.2 1.03086e-06 1.00425e-06 1.05709e-06
10 1.25 1 1 66.2 5.7686e-07 5.58012e-07 5.96731e-07
10 1.25 1 1 79.5 3.40813e-07 3.25088e-07 3.5695e-07
10 1.25 1 1 95.4 1.71284e-07 1.61465e-07 1.8113e-07
10 1.25 1 1 114.5 9.87683e-08 9.00465e-08 1.06378e-07
10 1.25 1 1 137.4 4.54934e-08 3.96941e-08 5.0918e-08
10 1.25 1 1 164.8 2.68753e-08 2.27662e-08 3.09639e-08
10 1.25 1 1 197.8 1.51891e-08 1.20098e-08 1.83545e-08
10 1.25 1 1 237.4 9.6883e-09 7.06268e-09 1.23301e-08
10 1.5 1 1 0 0.000214 0.00021358 0.000214417
10 1.5 1 1 46 1.65051e-06 1.61792e-06 1.68576e-06
10 1.5 1 1 15.4 3.07558e-05 3.0601e-05 3.09115e-05
10 1.5 1 1 18.5 2.25846e-05 2.24573e-05 2.27135e-05
10 1.5 1 1 22.2 1.53568e-05 1.5253e-05 1.54625e-05
10 1.5 1 1 26.2 1.04316e-05 1.03486e-05 1.05169e-05
10 1.5 1 1 31.9 5.85395e-06 5.79092e-06 5.91971e-06
