c alpha coal mu x0 hom homLow homHigh
10 1.5 1 0.001 0 0.00268599 0.00267294 0.00269782
10 1.5 1 0.01 0 0.00237164 0.00236021 0.00238285
10 1.5 1 0.1 0 0.00161024 0.00160201 0.00161961
10 1.5 1 0.001 15 0.00121262 0.00120387 0.00122173
10 1.5 1 0.01 15 0.000929986 0.000922638 0.000936673
10 1.5 1 0.1 15 0.000441028 0.00043685 0.000445258
10 1.5 1 0.001 19 0.00106915 0.00106115 0.00107643
10 1.5 1 0.01 19 0.000795546 0.000789196 0.000802304
10 1.5 1 0.1 19 0.000342287 0.000338475 0.00034564
10 1.5 1 0.001 22 0.00100665 0.000999093 0.00101474
10 1.5 1 0.01 22 0.000727394 0.000721216 0.000733523
10 1.5 1 0.1 22 0.000290951 0.000287612 0.000294103
10 1.5 1 0.001 26 0.000893254 0.000886079 0.000899787
10 1.5 1 0.01 26 0.000623731 0.000618247 0.00062927
10 1.5 1 0.1 26 0.000227827 0.000224988 0.000230745
10 1.5 1 0.001 32 0.000783403 0.000776506 0.000790194
10 1.5 1 0.01 32 0.00052294 0.000517923 0.000528391
10 1.5 1 0.1 32 0.000164895 0.000162802 0.000167276
10 1.5 1 0.001 38 0.00070313 0.00069666 0.000709038
10 1.5 1 0.01 38 0.00044963 0.000444872 0.000454496
10 1.5 1 0.1 38 0.000124316 0.000122336 0.000126224
10 1.5 1 0.001 46 0.000613094 0.000606893 0.000618424
10 1.5 1 0.01 46 0.000369624 0.000365122 0.000373889
10 1.5 1 0.1 46 8.68242e-05 8.51864e-05 8.83684e-05
10 1.5 1 0.001 55 0.000544838 0.000539422 0.000550309
10 1.5 1 0.01 55 0.000304764 0.000301117 0.00030856
10 1.5 1 0.1 55 5.80531e-05 5.67881e-05 5.92487e-05
10 1.5 1 0.001 66 0.000470289 0.000465368 0.000475795
10 1.5 1 0.01 66 0.000246497 0.0002432 0.000249457
10 1.5 1 0.1 66 3.80128e-05 3.70706e-05 3.88942e-05
10 1.5 1 0.001 80 0.000411281 0.000406742 0.000416108
10 1.5 1 0.01 80 0.000197795 0.000194889 0.000200722
10 1.5 1 0.1 80 2.33837e-05 2.26122e-05 2.40597e-05
10 1.5 1 0.001 95 0.000352402 0.000348182 0.000356464
10 1.5 1 0.01 95 0.00015545 0.000153045 0.000157748
10 1.5 1 0.1 95 1.49797e-05 1.44182e-05 1.55248e-05
10 1.5 1 0.001 115 0.000303754 0.000299499 0.000307916
10 1.5 1 0.01 115 0.000117527 0.00011542 0.000119523
10 1.5 1 0.1 115 7.85233e-06 7.51422e-06 8.21331e-06
10 1.5 1 0.001 137 0.000264083 0.000260575 0.000267731
10 1.5 1 0.01 137 9.18245e-05 9.01492e-05 9.35258e-05
10 1.5 1 0.1 137 5.11727e-06 4.81681e-06 5.42668e-06
10 1.5 1 0.001 165 0.000226617 0.00022345 0.000230093
10 1.5 1 0.01 165 6.86235e-05 6.71251e-05 7.00306e-05
10 1.5 1 0.1 165 2.55661e-06 2.35708e-06 2.74271e-06
10 1.5 1 0.001 198 0.000187221 0.000184284 0.000190509
10 1.5 1 0.01 198 4.7127e-05 4.59581e-05 4.82898e-05
10 1.5 1 0.1 198 1.26454e-06 1.12263e-06 1.40789e-06
10 1.5 1 0.001 237 0.000149674 0.000146969 0.00015243
10 1.5 1 0.01 237 3.29081e-05 3.19909e-05 3.38461e-05
10 1.5 1 0.1 237 5.75218e-07 5.1139e-07 6.38589e-07
