c alpha coal mu x0 hom homLow homHigh
10 2.05 1 1 0 0.00486155 0.00485956 0.00486354
10 2.05 1 1 15 1.29004e-05 1.28077e-05 1.29987e-05
10 2.05 1 1 19 5.94562e-06 5.88185e-06 6.0054e-06
10 2.05 1 1 22 3.58973e-06 3.53983e-06 3.64217e-06
10 2.05 1 1 26 2.05201e-06 2.01229e-06 2.08864e-06
10 2.05 1 1 32 9.77927e-07 9.53233e-07 1.00323e-06
10 2.05 1 1 38 4.82407e-07 4.63339e-07 4.98115e-07
10 2.05 1 1 46 2.57264e-07 2.43583e-07 2.70321e-07
10 2.05 1 1 55 1.47245e-07 1.38017e-07 1.57935e-07
10 2.05 1 1 66 6.71943e-08 6.04711e-08 7.37531e-08
10 2.05 1 1 80 2.70944e-08 2.26722e-08 3.11733e-08
10 2.05 1 1 95 1.18046e-08 9.01929e-09 1.46198e-08
10 2.05 1 1 115 3.17539e-09 1.95033e-09 4.44318e-09
10 2.05 1 1 137 2.77094e-09 1.56724e-09 4.06442e-09
10 2.05 1 1 165 1.27766e-09 3.85044e-10 2.12316e-09
10 2.05 1 1 198 3.67228e-09 1.97517e-09 5.49609e-09
10 2.05 1 1 237 3.3399e-12 1.17801e-12 5.47755e-12
